UVC,Make,Range,Model,Mark,ModelSeries,StartDate,EndDate,FuelType,VehicleClass,BodyShape,BodyStyle,NumberOfDoors,GrossVehicleWeightKG,PowerDelivery,EngineCapacityCC,EngineCapacityLitres,Aspiration,KW,BHP,NumberOfGears,TransmissionType,DriveType,DrivingAxle,BatteryCapacity,VehicleType,Model Status,VehiclesOnTheRoad ,DocumentVersion
M-NFBBW,Norton,Commando 961 Street,COMMANDO 961 STREET,NULL,COMMANDO 961 STREET,43774,NULL,Petrol,Motorcycle,NULL,Modern Classic,NULL,NULL,ICE,961,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NFBFA,Peugeot,Speedfight 4 50 Sportline 4T,SPEEDFIGHT 50,NULL,SPEEDFIGHT 50,44672,NULL,Petrol,Moped,NULL,Scooter,NULL,NULL,ICE,49,0,NULL,3,4,NULL,NULL,NULL,NULL,NULL,ICE,Current,TRUE,18
M-NFBND,Vmoto,CPA,SUPER SOCO CPX,NULL,SUPER SOCO CPX,44082,NULL,Electric,Motorcycle,NULL,Scooter,NULL,NULL,ICE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,TRUE,19
M-NFCAV,Wangye,Moped Unspecified Scooter,MOPED UNSPEC SCOOTER,NULL,MOPED UNSPEC SCOOTER,44453,NULL,Petrol,Moped,NULL,Scooter,NULL,NULL,ICE,50,0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,15
M-NFCFN,Peugeot,Speedfight 4 50 LC Total Sport,SPEEDFIGHT 50,NULL,SPEEDFIGHT 50,42465,NULL,Petrol,Moped,NULL,Scooter,NULL,NULL,ICE,49,0,NULL,4,5,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NFCGF,Harley-Davidson,FLRT Freewheeler 1746 17,FREEWHEELER 1746,NULL,FREEWHEELER 1746,42593,NULL,Petrol,Tricycle,NULL,Other L-CAT,NULL,NULL,ICE,1746,1.7,NULL,65,87,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NFCRR,Sherco,HRD 50 SE-R Factory,HRD 50 SE-R FACTORY,NULL,HRD 50 SE-R FACTORY,44208,NULL,Petrol,Moped,NULL,Competition,NULL,NULL,ICE,50,0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,TRUE,18
M-NFCRY,Morgan,3 Wheeler,3 WHEELER,NULL,3 WHEELER,44847,NULL,Petrol,Tricycle,NULL,Other L-CAT,NULL,NULL,ICE,1497,1.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,TRUE,18
M-NFDBZ,Romet Motors,Ogar 900 R,OGAR 900 R,NULL,OGAR 900 R,42915,NULL,Petrol,Moped,NULL,Scooter,NULL,NULL,ICE,50,0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NFDGN,Lexmoto,Hunter 50 E4,HUNTER 50 TD 50 Q,NULL,HUNTER 50 TD 50 Q,43284,NULL,Petrol,Moped,NULL,Naked,NULL,NULL,ICE,48,0,NULL,2,2,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NFEBS,BRP,Can-Am Ryker Rally Ed 900 Ace,CAN-AM RYKER RALLY ED 900 ACE,NULL,CAN-AM RYKER RALLY ED 900 ACE,43537,NULL,Petrol,Tricycle,NULL,Other L-CAT,NULL,NULL,ICE,899,0.9,NULL,61,81,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NFEEA,Quadro,Quadro 4,QUADRO 4,NULL,QUADRO 4,42955,NULL,Petrol,Tricycle,NULL,Scooter,NULL,NULL,ICE,346,0.3,NULL,23,30,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NFEKF,Piaggio,Liberty 50 Delivery Single,LIBERTY 50 DELIVERY,NULL,LIBERTY 50 DELIVERY,43160,NULL,Petrol,Moped,NULL,Scooter,NULL,NULL,ICE,50,0.1,NULL,2,2,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NFFPG,Zhenhua,ZH A 50,ZH A 50,NULL,ZH A 50,43559,NULL,Petrol,Moped,NULL,Naked,NULL,NULL,ICE,49,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,13
M-NFJLQ,Yamaha,MWD 300 Tricity 300,TRICITY 300,NULL,TRICITY 300,44639,NULL,Petrol,Tricycle,NULL,Scooter,NULL,NULL,ICE,292,0.3,NULL,21,28,NULL,NULL,NULL,NULL,NULL,ICE,Current,TRUE,18
M-NFKBY,Honda,T/C Unspec Trail/En 651-1000cc,T/C UNSPEC 651 - 1000 CC,NULL,T/C UNSPEC 651 - 1000 CC,44657,NULL,Petrol,Tricycle,NULL,NULL,NULL,NULL,ICE,1000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,17
M-NFNRQ,Piaggio,MP3 300 LT Business,MP3 300 LT BUSINESS,NULL,MP3 300 LT BUSINESS,42787,NULL,Petrol,Tricycle,NULL,Scooter,NULL,NULL,ICE,278,0.3,NULL,16,21,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NFQTP,Harley-Davidson,FLHTCUTG Tri Glide UL 1868 22,TRI GLIDE ULTRA 1868,NULL,TRI GLIDE ULTRA 1868,44652,NULL,Petrol,Tricycle,NULL,Other L-CAT,NULL,NULL,ICE,1868,1.9,NULL,65,87,NULL,NULL,NULL,NULL,NULL,ICE,Current,TRUE,17
M-NFTEH,Harley-Davidson,FLHTCUTG Tri Glide UL 1745 18,TRI GLIDE ULTRA 1745,NULL,TRI GLIDE ULTRA 1745,42968,NULL,Petrol,Tricycle,NULL,Other L-CAT,NULL,NULL,ICE,1745,1.7,NULL,66,88,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,15
M-NFTNL,Rewaco,T/C Unspec Trail/En 651-1000cc,T/C UNSPEC 651 - 1000 CC,NULL,T/C UNSPEC 651 - 1000 CC,42615,NULL,Petrol,Tricycle,NULL,Other L-CAT,NULL,NULL,ICE,1000,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,17
M-NFTQR,Piaggio,MP3 350 LT Sport ABS,MP3 350 LT SPORT,NULL,MP3 350 LT SPORT,43587,NULL,Petrol,Tricycle,NULL,Scooter,NULL,NULL,ICE,330,0.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NFTVE,BRP,Can-Am Spyder RT Limited,CAN-AM SPYDER RT LTD,NULL,CAN-AM SPYDER RT LTD,43908,NULL,Petrol,Tricycle,NULL,Other L-CAT,NULL,NULL,ICE,1330,1.3,NULL,85,113,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NFTXV,Piaggio,MP3 300 HPE,MP3 300 HPE,NULL,MP3 300 HPE,44061,NULL,Petrol,Tricycle,NULL,Scooter,NULL,NULL,ICE,278,0.3,NULL,19,25,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,13
M-NFWJS,Kawasaki,T/C Unspecified Over 1000cc,T/C UNSPEC OVER 1000 CC,NULL,T/C UNSPEC OVER 1000 CC,44664,NULL,Petrol,Tricycle,NULL,NULL,NULL,NULL,ICE,1001,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,15
M-NFYLR,Slingshot,A SL,A SL,NULL,A SL,42303,NULL,Petrol,Tricycle,NULL,Other L-CAT,NULL,NULL,ICE,2384,2.4,NULL,129,172,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,13
M-NGDNK,BRP,Can-Am Ryker 900 Ace,CAN-AM RYKER 900 ACE,NULL,CAN-AM RYKER 900 ACE,44097,NULL,Petrol,Tricycle,NULL,Other L-CAT,NULL,NULL,ICE,899,0.9,NULL,61,81,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NGNPN,Mash,Five Hundred Family,FIVE HUNDRED FAMILY,NULL,FIVE HUNDRED FAMILY,43020,NULL,Petrol,Tricycle,NULL,Other L-CAT,NULL,NULL,ICE,397,0.4,NULL,20,26,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NGNYA,Quadro,QV4 Qooder,QOODER,NULL,QOODER,43409,NULL,Petrol,Tricycle,NULL,Scooter,NULL,NULL,ICE,399,0.4,NULL,24,32,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NGPTY,Bajaj,RE 2 Stroke,RE 2 STROKE,NULL,RE 2 STROKE,44369,NULL,Petrol,Tricycle,NULL,Other L-CAT,NULL,NULL,ICE,145,0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NHCKX,Peugeot,Metropolis 400 Ultimate Sport,METROPOLIS 400,NULL,METROPOLIS 400,43745,NULL,Petrol,Tricycle,NULL,Scooter,NULL,NULL,ICE,399,0.4,NULL,26,34,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NHCPJ,BRP,Can-Am Spyder F3,CAN-AM SPYDER F3,NULL,CAN-AM SPYDER F3,44179,NULL,Petrol,Tricycle,NULL,Other L-CAT,NULL,NULL,ICE,1330,1.3,NULL,78,104,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NHCTC,Honda,T/C Unspecified Over 1000cc,T/C UNSPEC OVER 1000 CC,NULL,T/C UNSPEC OVER 1000 CC,44657,NULL,Petrol,Tricycle,NULL,NULL,NULL,NULL,ICE,1001,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,15
M-NHDGK,Piaggio,MP3 300 Yourban LT,MP3 300 YOURBAN LT,NULL,MP3 300 YOURBAN LT,42927,NULL,Petrol,Tricycle,NULL,Scooter,NULL,NULL,ICE,278,0.3,NULL,16,21,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,16
M-NHFZC,Kawasaki,T/C Unspec Trail/End 126-650cc,T/C UNSPEC 126 - 650 CC,NULL,T/C UNSPEC 126 - 650 CC,44664,NULL,Petrol,Tricycle,NULL,NULL,NULL,NULL,ICE,650,0.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ICE,Current,FALSE,17
M-NLWJV,Mercedes-Benz,Axor,AXOR 2543 LS HRS,NULL,,19793,NULL,Diesel,HCV,NULL,NULL,2,38000,ICE,11970,12,NULL,315,422,12,Semi Automatic,6x2,Pusher,NULL,ICE,Current,FALSE,15
M-PCNDE,Renault Trucks,Master,Master 45,NULL,59,45044,NULL,Diesel,HCV,NULL,Panel Van,NULL,4500,ICE,2299,2.3,Turbocharged,107,143,NULL,Manual,4x2,Rear,NULL,ICE,Current,TRUE,96
M-PCQZX,Peugeot,Boxer,Boxer 335 Professional Premium+ Blue HDi,NULL,X2-50,44977,NULL,Diesel,HCV,NULL,NULL,NULL,3500,ICE,1997,2,Turbocharged,103,138,NULL,Manual,4x2,Front,NULL,ICE,Current,TRUE,133
M-PCVHJ,Citroen,Relay,Relay 40 Heavy L4H2 Enterprise Edition Blue HDi SS,NULL,X2-50,44971,NULL,Diesel,HCV,NULL,Panel Van,NULL,4005,ICE,2179,2.2,Turbocharged,121,162,NULL,Manual,4x2,Front,NULL,ICE,Current,TRUE,132
M-PCWAE,Peugeot,Boxer,Boxer 440 Professional Prem+ L4H2 BHDi,NULL,X2-50,45128,NULL,Diesel,HCV,NULL,Panel Van,NULL,4005,ICE,2179,2.2,Turbocharged,121,162,NULL,Manual,4x2,Front,NULL,ICE,Current,TRUE,59
