UVC,Make,Range,Model,Mark,ModelSeries,StartDate,EndDate,FuelType,VehicleClass,BodyShape,BodyStyle,NumberOfDoors,GrossVehicleWeightKG,PowerDelivery,EngineCapacityCC,EngineCapacityLitres,Aspiration,KW,BHP,NumberOfGears,TransmissionType,DriveType,DrivingAxle,BatteryCapacity,VehicleType,Model Status,VehiclesOnTheRoad ,DocumentVersion
M-BJKAN,Isuzu,D-Max,D-Max Utility,3,TER,44237,NULL,Diesel,Pickup,Standard Roof,Pick Up,NULL,3100,ICE,1898,1.9,Turbocharged,120,160,6,Manual,4x4,All - Selected,NULL,ICE,Current,TRUE,90
M-BJNHG,Isuzu,D-Max,D-Max V-Cross Auto,3,TER,44238,NULL,Diesel,Pickup,Standard Roof,Pick Up,NULL,3100,ICE,1898,1.9,Turbocharged,120,160,6,Automatic,4x4,All - Selected,NULL,ICE,Current,TRUE,90
M-BLCYG,Ford,Ranger,Ranger XLT EcoBlue 4x4,5,P375,43706,NULL,Diesel,Pickup,Standard Roof,Pick Up,NULL,3270,ICE,1996,2,Turbocharged,125,167,6,Manual,4x4,All - Permanent,NULL,ICE,Current,TRUE,90
M-BLZJH,Volkswagen,Caddy,Caddy C20 Life TDI,5,SB,44337,NULL,Diesel,VDC,NULL,Van Derived Car,5,NULL,ICE,1968,2,Turbocharged,75,100,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,88
M-BRWLN,Isuzu,D-Max,D-Max DL40 Auto,3,TER,44237,NULL,Diesel,Pickup,Standard Roof,Pick Up,NULL,3100,ICE,1898,1.9,Turbocharged,120,160,6,Automatic,4x4,All - Selected,NULL,ICE,Current,TRUE,86
M-BSDNJ,Peugeot,Rifter,Rifter Allure Premium PureTech S/S Auto,3,K9,44210,NULL,Petrol,VDC,NULL,Van Derived Car,5,NULL,ICE,1199,1.2,Turbocharged,96,128,8,Automatic,4x2,Front,NULL,ICE,Current,TRUE,87
M-BYXHV,Peugeot,Traveller,Traveller Allure Standard Blue HDi S/S Auto,1,K0,44256,NULL,Diesel,VDC,NULL,Van Derived Car,5,NULL,ICE,1997,2,Turbocharged,130,174,6,Automatic,4x2,Front,NULL,ICE,Current,TRUE,88
M-CAXAG,Ford,Ranger,Ranger Raptor EcoBlue 4x4 Auto,5,P375,43585,NULL,Diesel,Pickup,Standard Roof,Pick Up,NULL,3130,ICE,1996,2,Turbocharged,156,209,10,Automatic,4x4,All - Permanent,NULL,ICE,Current,TRUE,89
M-CRNTZ,Mercedes-Benz,V-Class,V 300 AMG Line D Auto,NULL,W447,43658,NULL,Diesel,VDC,NULL,Van Derived Car,5,NULL,ICE,1950,2,Turbocharged,176,236,9,Automatic,4x2,Rear,NULL,ICE,Current,TRUE,87
M-CRPLH,Ford,Transit,Transit 350 Trend EcoBlue,5,V363,43709,NULL,Diesel,PSV,Standard Roof,Minibus,NULL,3500,ICE,1996,2,Turbocharged,95,128,6,Manual,4x2,Rear,NULL,ICE,Current,TRUE,88
M-CSDKG,Ford,Tourneo Custom,Tourneo Custom 320 Zetec EcoBlue Auto,1,V362,43754,NULL,Diesel,VDC,NULL,Van Derived Car,4,3200,ICE,1996,2,Turbocharged,95,128,6,Automatic,4x2,Front,NULL,ICE,Current,TRUE,87
M-CTLKZ,Mercedes-Benz,Sprinter,Sprinter 514 CDi,3,VS30,43396,NULL,Diesel,HCV,NULL,Panel Van,NULL,5000,ICE,2143,2.1,Turbocharged,105,140,NULL,Manual,4x2,Rear,NULL,ICE,Current,TRUE,85
M-CTNXV,Vauxhall,Combo Life,Combo Life Edition TD S/S,1,K9,44242,NULL,Diesel,VDC,NULL,Van Derived Car,5,NULL,ICE,1499,1.5,Turbocharged,75,100,5,Manual,4x2,Front,NULL,ICE,Current,TRUE,91
M-DCPBQ,Volkswagen,Caddy,Caddy Maxi C20 Life TSi Semi-Auto,5,SB,44285,NULL,Petrol,VDC,NULL,Van Derived Car,5,NULL,ICE,1498,1.5,Turbocharged,84,112,7,Semi Automatic,4x2,Front,NULL,ICE,Current,TRUE,89
M-DCVFL,Mercedes-Benz,V-Class,V 220 Sport D Auto,NULL,W447,43657,NULL,Diesel,VDC,NULL,Van Derived Car,5,NULL,ICE,1950,2,Turbocharged,120,160,9,Automatic,4x2,Rear,NULL,ICE,Current,TRUE,87
M-DCZXZ,Ford,Tourneo Custom,Tourneo Custom 320 Zetec EcoBlue,1,V362,43696,NULL,Diesel,VDC,NULL,Van Derived Car,4,3200,ICE,1996,2,Turbocharged,95,128,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,87
M-DGAPN,Renault,Trafic,Trafic SL28 Sport Blue dCi,4,X82,44523,NULL,Diesel,VDC,NULL,Van Derived Car,5,NULL,ICE,1997,2,Turbocharged,81,108,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,87
M-DGXBL,Peugeot,Rifter,Rifter Allure Premium PureTech S/S Auto,3,K9,44225,NULL,Petrol,VDC,NULL,Van Derived Car,5,NULL,ICE,1199,1.2,Turbocharged,96,128,8,Automatic,4x2,Front,NULL,ICE,Current,TRUE,87
M-DJJLL,Isuzu,D-Max,D-Max DL20,3,TER,44238,NULL,Diesel,Pickup,Standard Roof,Pick Up,NULL,3100,ICE,1898,1.9,Turbocharged,120,160,6,Manual,4x4,All - Selected,NULL,ICE,Current,TRUE,86
M-DJQTV,Peugeot,Rifter,Rifter Horizon RS TD,3,K9,43627,NULL,Diesel,VDC,NULL,Van Derived Car,5,NULL,ICE,1499,1.5,Turbocharged,75,100,5,Manual,4x2,Front,NULL,ICE,Current,TRUE,87
M-DQDJZ,Ford,Ranger,Ranger Limited Edition EcoBlue 4x4 Auto,5,P375,43585,NULL,Diesel,Pickup,Standard Roof,Pick Up,NULL,3270,ICE,1996,2,Turbocharged,156,209,10,Automatic,4x4,All - Permanent,NULL,ICE,Current,TRUE,89
M-DXHJJ,Mercedes-Benz,Sprinter,Sprinter 519 Premium CDi 4x4 Auto,NULL,VS30,44628,NULL,Diesel,HCV,NULL,Panel Van,NULL,5000,ICE,2987,3,Turbocharged,140,190,NULL,Automatic,4x4,All - Selected,NULL,ICE,Current,TRUE,89
M-DXJDR,Ford,Tourneo Custom,Tourneo Custom 320 Titanium PHEV CVT,1,V362,43862,NULL,Petrol/Electric,VDC,NULL,Van Derived Car,4,3200,PHEV,999,1,Turbocharged,92,123,1,CVT,4x2,Front,13,PHEV,Current,TRUE,92
M-DXTLG,Ford,Transit,Transit 500 Leader EcoBlue,NULL,V363,45078,NULL,Diesel,HCV,NULL,Chassis Cab,NULL,5000,ICE,1996,2,Turbocharged,125,167,NULL,Manual,4x2,Rear,NULL,ICE,Current,FALSE,63
M-DXYNP,Iveco,Daily,Daily 55C18 4x4,NULL,MY2014,45030,NULL,Diesel,HCV,NULL,Panel Van,NULL,5500,ICE,2998,3,Turbocharged,132,177,NULL,Manual,4x4,All - Permanent,NULL,ICE,Current,TRUE,92
M-EAEHH,Citroen,Berlingo,Berlingo Feel PureTech S/S Auto,3,K9,44221,NULL,Petrol,VDC,NULL,Van Derived Car,5,NULL,ICE,1199,1.2,Turbocharged,96,129,8,Automatic,4x2,Front,NULL,ICE,Current,TRUE,87
M-EBWWC,Ford,Transit,Transit 460 Leader EcoBlue,5,V363,43692,NULL,Diesel,PSV,NULL,Minibus,NULL,4600,ICE,1996,2,Turbocharged,95,128,NULL,Manual,4x2,Rear,NULL,ICE,Current,TRUE,88
M-EBYTQ,Citroen,Berlingo,Berlingo Feel Blue HDi S/S,3,K9,44341,NULL,Diesel,VDC,NULL,Van Derived Car,5,NULL,ICE,1499,1.5,Turbocharged,75,100,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,88
M-ECDWK,Iveco,Daily,Daily 50C16,NULL,MY2014,43888,NULL,Diesel,HCV,NULL,NULL,NULL,5200,ICE,2287,2.3,Turbocharged,115,154,6,Manual,4x2,Rear,NULL,ICE,Current,TRUE,92
M-ECQSB,Mercedes-Benz,V-Class,V 220 D AMG Line Auto,NULL,W447,43676,NULL,Diesel,VDC,NULL,Van Derived Car,5,NULL,ICE,1950,2,Turbocharged,120,160,9,Automatic,4x2,Rear,NULL,ICE,Current,TRUE,87
M-EFCHS,Volkswagen,Caddy,Caddy Maxi C20 TDI,5,SB,44462,NULL,Diesel,VDC,NULL,Van Derived Car,5,NULL,ICE,1968,2,Turbocharged,75,100,6,Manual,4x2,Front,NULL,ICE,Current,TRUE,88
M-EGBXN,Ford,Ranger,Ranger Wildtrak EcoBlue 4x4 Auto,5,P375,43585,NULL,Diesel,Pickup,Standard Roof,Pick Up,NULL,3270,ICE,1996,2,Turbocharged,156,209,10,Automatic,4x4,All - Permanent,NULL,ICE,Current,TRUE,89
