UVC,Make,Range,Model,Mark,ModelSeries,IntroductionDate,StartDate,EndDate,FuelType,VehicleClass,BodyShape,BodyStyle,NumberOfDoors,GrossVehicleWeightKG,PowerDelivery,EngineCapacityCC,EngineCapacityLitres,Aspiration,KW,BHP,NumberOfGears,TransmissionType,DriveType,DrivingAxle,BatteryCapacity,VehicleType,Model Status,VehiclesOnTheRoad,DocumentVersion
M-AHCNZ,Ford,Transit,Transit 200 T350el RWD,,V348,2007-10-01,2008-03-31,2008-08-27,Diesel,LCV,High Roof,Panel Van,,3500,ICE,3199,3.2,Turbocharged,149,200,6,Manual,4x2,Rear,,ICE,Discontinued,TRUE,94
M-AAEXQ,Abarth,595,595c Turismo Semi-Auto,1,312,2021-01-22,2021-03-31,2022-10-31,Petrol,Car,,Convertible,2,1440,ICE,1368,1.4,Turbocharged,123,162,5,Semi Automatic,4x2,Front,,ICE,Discontinued,TRUE,90
M-AAKFD,Mercedes-Benz,GL,GL420 CDi 4Matic Auto,,X164,2006-09-01,2006-07-12,2010-02-10,Diesel,Car,,SUV Estate,5,3250,ICE,3996,4,Turbocharged,225,301,7,Automatic,4x4,All Permanent,,ICE,Discontinued,TRUE,101
M-AEGNT,Ford,Ranger,Ranger Regular Cab 4WD,2,J97U,2006-06-01,2006-09-01,2009-11-19,Diesel,Pickup,,Pick Up,5,3010,ICE,2499,2.5,Turbocharged,105,140,5,Manual,4x4,All Selected,,ICE,Discontinued,TRUE,107
M-AELLA,Mercedes-Benz,Sprinter,Sprinter 311 CDI,,VS30,2018-05-18,,,Diesel,LCV,Standard Roof,Chassis Cab,,3500,ICE,2143,2.1,Turbocharged,84,112,6,Manual,4x2,Rear,,ICE,Current,FALSE,29
M-AEPXV,Volkswagen,Transporter,Transporter T32 Highline TDI BlueMotion Technology 4Motion Semi-Auto,6,T6,2016-08-12,2016-09-22,2019-08-28,Diesel,LCV,Standard Roof,Panel Van,,3200,ICE,1968,2,Turbocharged,150,201,7,Semi Automatic,4x4,All Selected,,ICE,Discontinued,TRUE,98
M-AAYCV,Seat,Ibiza,Ibiza FR Sport TSi Semi-Auto,5,SE270,2020-09-04,2020-09-21,2021-08-07,Petrol,Car,,Hatchback,5,1615,ICE,999,1,Turbocharged,85,114,7,Semi Automatic,4x2,Front,,ICE,Discontinued,TRUE,101
M-ABAEP,Vauxhall,Astra,Astra Elite Auto,,P10,2009-09-15,2010-03-01,2012-07-09,Petrol,Car,,Hatchback,5,1940,ICE,1598,1.6,Naturally Aspirated,85,113,6,Automatic,4x2,Front,,ICE,Discontinued,TRUE,103
M-ABBPN,Iveco,Daily,Daily 35S17,,MY2014,2014-12-05,,,Diesel,LCV,High Roof,Window Van,,3500,ICE,3000,3,Turbocharged,125,170,6,Manual,4x2,Rear,,ICE,Current,FALSE,25
M-ADSRA,Vauxhall,Vectra,Vectra CDX Dual Fuel Auto,,J96,1999-03-01,2000-05-01,2000-06-23,Petrol,Car,,Estate,5,,ICE,1998,2,Naturally Aspirated,100,134,4,Automatic,4x2,Front,,ICE,Discontinued,TRUE,96
M-AEAHF,Land Rover,Range Rover Evoque,Range Rover Evoque Autobiography TD4 Auto,1,L538,2015-09-04,,,Diesel,Car,,SUV Coupe,3,,ICE,1999,2,Turbocharged,132,177,9,Automatic,4x4,All Permanent,,ICE,Current,FALSE,24
M-AFDLJ,Rover,Streetwise,Streetwise TD,,R3,2004-06-01,,,Diesel,Car,,Hatchback,5,,ICE,1994,2,Turbocharged,74,99,5,Manual,4x2,Front,,ICE,Current,FALSE,20
M-AFJNZ,Skoda,Octavia,Octavia Laurin + Klement,,,2000-09-01,2001-02-13,2005-07-04,Petrol,Car,,Estate,5,,ICE,1781,1.8,Turbocharged,111,150,5,Manual,4x2,Front,,ICE,Discontinued,TRUE,95
M-AFPSJ,Renault,CLIO,Clio Privilege 16v,2,X65,2001-05-01,2001-05-02,2003-09-29,Petrol,Car,,Hatchback,3,,ICE,1390,1.4,Naturally Aspirated,70,94,5,Manual,4x2,Front,,ICE,Discontinued,TRUE,98
M-ABTWG,Land Rover,Range Rover,Range Rover EFI,,,1986-11-01,1986-02-18,1993-05-14,Petrol,Car,,SUV Estate,5,,ICE,3528,3.5,Naturally Aspirated,123,165,5,Manual,4x4,All Permanent,,ICE,Discontinued,TRUE,23
M-ABVVP,MAN,TGE,TGE 3.180 4x4,1,1,2018-11-02,2018-10-26,2021-10-04,Diesel,LCV,Standard Roof,Panel Van,,3500,ICE,1968,2,Turbocharged,130,174,6,Manual,4x4,All Permanent,,ICE,Discontinued,TRUE,102
